,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Homies,48.85354190495365,2.364448383450508,Homies,48.85354190495365,2.364448383450508,Tapas Restaurant
1,Homies,48.85354190495365,2.364448383450508,Le Temps des Cerises,48.85255362794662,2.364194654389621,French Restaurant
2,Homies,48.85354190495365,2.364448383450508,Sherry Butt,48.85326738634583,2.3641137778759003,Cocktail Bar
3,Homies,48.85354190495365,2.364448383450508,Pasta Linea,48.85524971348305,2.3634157029409995,Italian Restaurant
4,Homies,48.85354190495365,2.364448383450508,Keep Cool,48.85208479878069,2.3633714946624815,Gym
5,Homies,48.85354190495365,2.364448383450508,La Moustache Blanche,48.85452477876369,2.3673031736565684,Beer Store
6,Homies,48.85354190495365,2.364448383450508,Place des Vosges,48.85562342675294,2.365531325340271,Plaza
7,Homies,48.85354190495365,2.364448383450508,Café Ginger,48.852887,2.367354,Vegetarian / Vegan Restaurant
8,Homies,48.85354190495365,2.364448383450508,La Cerise sur la Pizza,48.8540374685859,2.362342849373817,Pizza Place
9,Homies,48.85354190495365,2.364448383450508,L'Ambroisie,48.85534,2.364355,French Restaurant
10,Homies,48.85354190495365,2.364448383450508,Maria Loca,48.852122537323886,2.365666920222009,Cocktail Bar
11,Homies,48.85354190495365,2.364448383450508,Gaspard de la Nuit,48.85410155334177,2.3673950733099174,French Restaurant
12,Homies,48.85354190495365,2.364448383450508,Vins des Pyrénées,48.85371248516514,2.3644620724780503,French Restaurant
13,Homies,48.85354190495365,2.364448383450508,Place du Marché Sainte-Catherine,48.85539047488832,2.3628169298171997,Plaza
14,Homies,48.85354190495365,2.364448383450508,Garde Républicaine,48.85144449251261,2.364519420427195,Government Building
15,Homies,48.85354190495365,2.364448383450508,Le Dindon en Laisse,48.85320120383447,2.36406147480011,French Restaurant
16,Homies,48.85354190495365,2.364448383450508,Jardin de Sully,48.85498719619549,2.3640553433490066,Garden
17,Homies,48.85354190495365,2.364448383450508,Boulangerie Saint-Antoine,48.85363271223415,2.365220189094543,Bakery
18,Homies,48.85354190495365,2.364448383450508,HOTEL DE JOBO,48.85543761945354,2.362076401178279,Hotel
19,Homies,48.85354190495365,2.364448383450508,Village Saint-Paul,48.85368918749588,2.3615241050720215,Pedestrian Plaza
20,Homies,48.85354190495365,2.364448383450508,Le Chanard,48.8529120567913,2.361544888389472,French Restaurant
21,Homies,48.85354190495365,2.364448383450508,La Mangerie,48.8557965430479,2.362733014737857,Tapas Restaurant
22,Homies,48.85354190495365,2.364448383450508,Hôtel de Béthune-Sully,48.8549449512819,2.364075696543451,Historic Site
23,Homies,48.85354190495365,2.364448383450508,Bubar,48.85395038475273,2.3672452569007874,Wine Bar
24,Homies,48.85354190495365,2.364448383450508,Chez Margot,48.85181106403719,2.3645978263169347,French Restaurant
25,Homies,48.85354190495365,2.364448383450508,Au Bouquet Saint Paul,48.854619072894074,2.362799024277326,Gastropub
26,Homies,48.85354190495365,2.364448383450508,Maison de Victor Hugo,48.85517319635984,2.3658665866902946,Historic Site
27,Homies,48.85354190495365,2.364448383450508,Miss Manon,48.854654757084475,2.3626185166066054,Bakery
28,Homies,48.85354190495365,2.364448383450508,Savannah Coffee,48.85512471642688,2.3633047154536158,Coffee Shop
29,Homies,48.85354190495365,2.364448383450508,Dammann Frères,48.855861567283824,2.364829753752238,Tea Room
30,Homies,48.85354190495365,2.364448383450508,Frog Revolution,48.853788104716685,2.368305450632397,Pub
31,Homies,48.85354190495365,2.364448383450508,L'Area Café,48.854247991532944,2.367328600640753,Brazilian Restaurant
32,Homies,48.85354190495365,2.364448383450508,Amorino,48.85638977779494,2.364113819785416,Ice Cream Shop
33,Homies,48.85354190495365,2.364448383450508,Sushi Shop,48.8540125503199,2.364544483389482,Sushi Restaurant
34,Homies,48.85354190495365,2.364448383450508,Yellow Tucan,48.854684,2.367288,Coffee Shop
35,Homies,48.85354190495365,2.364448383450508,Comptoir des Mers,48.854830682556106,2.3631150284516735,Seafood Restaurant
36,Homies,48.85354190495365,2.364448383450508,Brasserie Bofinger,48.853914536392324,2.368043214082718,French Restaurant
37,Homies,48.85354190495365,2.364448383450508,L'Enoteca,48.853416864533614,2.361671385262398,Italian Restaurant
38,Homies,48.85354190495365,2.364448383450508,Carette,48.856304628258506,2.3654937744140625,Tea Room
39,Homies,48.85354190495365,2.364448383450508,Galerie Nikki Diana Marquardt,48.855395769260916,2.363736927509308,Art Gallery
40,Homies,48.85354190495365,2.364448383450508,Hôtel Pavillon de la Reine,48.856386591661504,2.366008934683876,Hotel
41,Homies,48.85354190495365,2.364448383450508,Hôtel Original Paris,48.854696379409795,2.3688413516715108,Hotel
42,Homies,48.85354190495365,2.364448383450508,Casa San Pablo,48.85537356647822,2.3619003036424235,Tapas Restaurant
43,Homies,48.85354190495365,2.364448383450508,Le Rusti,48.85414250211515,2.3673939748982593,Italian Restaurant
44,Homies,48.85354190495365,2.364448383450508,Chez Mademoiselle,48.85429032043008,2.3598099177322163,Restaurant
45,Homies,48.85354190495365,2.364448383450508,Pedra Alta,48.85457343512051,2.3687582449479803,Seafood Restaurant
46,Homies,48.85354190495365,2.364448383450508,Grand Hôtel Malher,48.85565493925689,2.3610673237119957,Hotel
47,Homies,48.85354190495365,2.364448383450508,Pavillon de l'Arsenal,48.85065016214532,2.362340470390449,Museum
48,Homies,48.85354190495365,2.364448383450508,Chocolaterie Joséphine Vannier,48.85590203900677,2.367756939475856,Chocolate Shop
